Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
74,20210319,13:59:00,15:15:00,-125.69,Tas Fracture,74,No-take,-43.75131727,146.2919636,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
75,20210319,15:37:00,16:40:00,-123.89,Tas Fracture,75,No-take,-43.74871361,146.2932768,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
76,20210319,09:43:00,11:07:00,-126.38,Tas Fracture,76,No-take,-43.75570948,146.2983249,,,,,286,287,,,,Shenae,,,Yes,,,Yes,,
77,20210319,17:38:00,18:50:00,-129.97,Tas Fracture,77,No-take,-43.73738078,146.2908456,,,,,286,287,,,,ashlee b,,,Yes,,,No,,
78,20210319,13:44:00,14:52:00,-128.94,Tas Fracture,78,No-take,-43.75295383,146.2752711,,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
79,20210319,11:34:00,12:45:00,-142.03,Tas Fracture,79,No-take,-43.75742092,146.293495,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
80,20210319,13:49:00,14:41:00,-124.77,Tas Fracture,80,No-take,-43.75474544,146.2832657,Pulled early accidently,,,,282,283,,,,Shenae,,,No,,,No,,
81,20210319,09:35:00,10:42:00,-110.2,Tas Fracture,81,No-take,-43.75223718,146.2999686,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
82,20210319,12:02:00,13:10:00,-140.22,Tas Fracture,82,No-take,-43.7570588,146.2819554,,,,,282,283,,,,Shenae,,,Yes,,,No,,
83,20210319,16:00:00,17:04:00,-126.39,Tas Fracture,83,No-take,-43.74667641,146.2923389,,,,,286,287,,,,Shenae,,,Yes,,,Yes,,
84,20210319,10:12:00,11:24:00,-140.1,Tas Fracture,84,No-take,-43.76154247,146.303067,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
