Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO259,-33.96868897,114.9213721,20201019,12:00:00,C.IO.20,South-west,Fished,46.8,Rachel,Yes,Yes,Claude
IO260,-33.97118897,114.9163721,20201019,11:55:00,C.IO.20,South-west,Fished,46.3,Rachel,Yes,Yes,Claude
IO273,-33.99868897,114.8213721,20201019,7:07:00,C.IO.22,South-west,Fished,44.9,Rachel,Yes,Yes,Claude
FH40,-33.92368897,114.8888721,20201029,12:40:00,C.FH.21,South-west,Fished,42.9,Daphne,Yes,No,
IO308,-34.11118897,114.7288721,20201022,10:06:00,C.IO.9,South-west,No-take,126,Rachel,Yes,Yes,Claude
IO328,-33.99356667,114.8213667,20201019,7:13:00,C.IO.22,South-west,Fished,43.8,Rachel,Yes,Yes,Claude
IO377,-34.13868897,114.7588721,20201022,7:40:00,C.IO.69,South-west,No-take,113,Rachel,Yes,Yes,Claude
FH11,-33.89868897,114.9388721,20201029,14:48:00,C.FH.18,South-west,Fished,42.3,Rachel,Yes,Yes,Claude
FH12,-33.91868897,114.8963721,20201029,12:46:00,C.FH.21,South-west,Fished,46.1,Rachel,Yes,Yes,Claude
FH35,-33.88368897,114.9313721,20201029,15:09:00,C.FH.17,South-west,Fished,45.2,Rachel,Yes,Yes,Claude
IO46,-34.06868897,114.7113721,20201023,6:44:00,C.IO.34,South-west,No-take,129,Rachel,Yes,Yes,Claude
IO47,-34.06368897,114.7113721,20201023,6:53:00,C.IO.34,South-west,No-take,127,Rachel,Yes,Yes,Claude
FH67,-33.88868897,114.9238721,20201029,15:00:00,C.FH.17,South-west,Fished,46.1,Rachel,Yes,Yes,Claude
FH72,-33.88868897,114.9288721,20201029,15:06:00,C.FH.17,South-west,Fished,44.1,Rachel,Yes,Yes,Claude
FH78,-33.89118897,114.9163721,20201029,14:56:00,C.FH.17,South-west,Fished,45.8,Rachel,Yes,Yes,Claude
FH87,-33.92868897,114.8938721,20201029,12:36:00,C.FH.21,South-west,Fished,43.8,Rachel,Yes,Yes,Claude
FH94,-33.90868897,114.9413721,20201029,14:36:00,C.FH.18,South-west,Fished,41.9,Rachel,Yes,Yes,Claude
IO101,-34.07868897,114.8963721,20201029,10:10:00,C.IO.39,South-west,No-take,43.5,Rachel,Yes,Yes,Claude
IO102,-34.07118897,114.9113721,20201029,10:26:00,C.IO.2,South-west,No-take,45.2,Rachel,Yes,Yes,Claude
IO105,-34.06368897,114.6688721,20201023,9:45:00,C.IO.30,South-west,No-take,139,Rachel,Yes,Yes,Claude
IO189,-33.98868897,114.6638721,20201023,12:31:00,C.IO.40,South-west,Fished,139,Daphne,Yes,No,
IO107,-34.06368897,114.6763721,20201023,9:50:00,C.IO.30,South-west,No-take,137,Rachel,Yes,Yes,Claude
IO108,-34.05118897,114.6688721,20201023,10:04:00,C.IO.30,South-west,No-take,138,Rachel,Yes,Yes,Claude
FH109,-33.91618897,114.9088721,20201029,13:04:00,C.FH.20,South-west,Fished,45.9,Rachel,Yes,Yes,Claude
IO113,-34.05868897,114.7388721,20201023,7:30:00,C.IO.31,South-west,No-take,111,Rachel,Yes,Yes,Claude
IO115,-34.05368897,114.7363721,20201023,7:34:00,C.IO.31,South-west,No-take,112,Rachel,Yes,Yes,Claude
IO192,-33.98618897,114.6688721,20201023,12:36:00,C.IO.40,South-west,Fished,138,Rachel,Yes,Yes,Claude
IO211,-34.05618897,114.9063721,20201029,10:42:00,C.IO.3,South-west,No-take,43.5,Rachel,Yes,Yes,Claude
IO216,-34.06118897,114.9163721,20201029,10:33:00,C.IO.3,South-west,No-take,47.5,Rachel,Yes,Yes,Claude
IO280,-34.08868897,114.6738721,20201023,9:24:00,C.IO.14,South-west,No-take,139,Rachel,Yes,Yes,Claude
IO290,-34.06868897,114.7188721,20201023,7:07:00,C.IO.13,South-west,No-take,124,Rachel,Yes,Yes,Claude
IO291,-34.08368897,114.7488721,20201022,13:09:00,C.IO.12,South-west,No-take,109,Rachel,Yes,Yes,Claude
IO344,-34.0844,114.6744,20201023,9:28:00,C.IO.14,South-west,No-take,138,,No,No,
IO295,-34.10368897,114.7538721,20201022,12:25:00,C.IO.11,South-west,No-take,109,Rachel,Yes,Yes,Claude
IO297,-34.10618897,114.7488721,20201022,12:21:00,C.IO.11,South-west,No-take,114,Rachel,Yes,Yes,Claude
IO372,-34.00618897,114.6438721,20201023,11:53:00,C.IO.26,South-west,Fished,140,,No,No,
IO302,-34.07118897,114.7238721,20201023,7:13:00,C.IO.13,South-west,No-take,122,Rachel,Yes,Yes,Claude
IO330,-34.08833333,114.7545,20201022,13:00:00,C.IO.12,South-west,No-take,116,Rachel,Yes,Yes,Claude
IO355,-34.05473333,114.9111,20201029,10:38:00,C.IO.3,South-west,No-take,45,Rachel,Yes,Yes,Claude
IO370,-33.99618897,114.6463721,20201023,12:10:00,C.IO.26,South-west,Fished,141,Rachel,Yes,Yes,Claude
