"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"139","Abudefduf ascensionis","Abudefduf","ascensionis",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"140","Abudefduf marginatus","Abudefduf","marginatus",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"141","Abudefduf saxiatilis","Abudefduf","saxiatilis","misspelling","Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"142","Abudefduf sexatilis","Abudefduf","sexatilis","misspelling","Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"143","Apogon quinquevittatus","Apogon","quinquevittatus",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"144","Chaetodon marginatus","Chaetodon","marginatus",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"145","Chaetodon mauritii","Chaetodon","mauritii",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"146","Chaetodon sargoides","Chaetodon","sargoides",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"147","Chaetodon saxatilis","Chaetodon","saxatilis",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"148","Glyphidodon saxatilis","Glyphidodon","saxatilis",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"149","Glyphisodon biniar","Glyphisodon","biniar",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"150","Glyphisodon moucharra","Glyphisodon","moucharra",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"151","Glyphisodon saxatilis","Glyphisodon","saxatilis",NA,"Abudefduf saxatilis","Abudefduf","saxatilis","Pomacentridae","Pomacentridae"
"152","Abudefduf multifasciatus","Abudefduf","multifasciatus",NA,"Abudefduf septemfasciatus","Abudefduf","septemfasciatus","Pomacentridae","Pomacentridae"
"153","Abudefduf paee","Abudefduf","paee",NA,"Abudefduf septemfasciatus","Abudefduf","septemfasciatus","Pomacentridae","Pomacentridae"
"154","Chaetodon rotundus","Chaetodon","rotundus",NA,"Abudefduf septemfasciatus","Abudefduf","septemfasciatus","Pomacentridae","Pomacentridae"
"155","Glyphisodon septemfasciatus","Glyphisodon","septemfasciatus",NA,"Abudefduf septemfasciatus","Abudefduf","septemfasciatus","Pomacentridae","Pomacentridae"
"156","Abudefduf coelestinus","Abudefduf","coelestinus",NA,"Abudefduf sexfasciatus","Abudefduf","sexfasciatus","Pomacentridae","Pomacentridae"
"157","Glyphidodon caelestinus","Glyphidodon","caelestinus",NA,"Abudefduf sexfasciatus","Abudefduf","sexfasciatus","Pomacentridae","Pomacentridae"
"158","Glyphisodon coelestinus","Glyphisodon","coelestinus",NA,"Abudefduf sexfasciatus","Abudefduf","sexfasciatus","Pomacentridae","Pomacentridae"
"159","Labrus sexfasciatus","Labrus","sexfasciatus",NA,"Abudefduf sexfasciatus","Abudefduf","sexfasciatus","Pomacentridae","Pomacentridae"
"160","Abudefduf tridentatus","Abudefduf","tridentatus",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"161","Chaetodon sordidus","Chaetodon","sordidus",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"162","Glyphidodon adenensis","Glyphidodon","adenensis",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"163","Glyphidodon leucopleura","Glyphidodon","leucopleura",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
