"CAAB_code","Parent_CAAB","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"10000910",10000909,"Biota","Sponges","Cup-likes","Cups",,,,,,,,
"10000919",10000910,"Biota","Sponges","Cup-likes","Cups","Cup / goblet",,,,,,,
"10000918",10000910,"Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",,,,,,,
"10000920",10000910,"Biota","Sponges","Cup-likes","Cups","Tables / discs",,,,,,,
"10000911",10000909,"Biota","Sponges","Cup-likes","Tubes and chimneys",,,,,,,,
"10000909",10000000,"Biota","Sponges","Cup-likes",,,,,,,,,
"10000915",10000912,"Biota","Sponges","Erect forms","Branching",,,,,,,,
"10000913",10000912,"Biota","Sponges","Erect forms","Laminar",,,,,,,,
"10000914",10000912,"Biota","Sponges","Erect forms","Palmate",,,,,,,,
"10000916",10000912,"Biota","Sponges","Erect forms","Simple",,,,,,,,
"10000906",10000912,"Biota","Sponges","Erect forms","Stalked",,,,,,,,
"10000912",10000000,"Biota","Sponges","Erect forms",,,,,,,,,
"10000905",10000903,"Biota","Sponges","Massive forms","Balls",,,,,,,,
"10000908",10000903,"Biota","Sponges","Massive forms","Cryptic",,,,,,,,
"10000904",10000903,"Biota","Sponges","Massive forms","Simple",,,,,,,,
"10000903",10000000,"Biota","Sponges","Massive forms",,,,,,,,,
"10000000",80000000,"Biota","Sponges",,,,,,,,,,
"00000001",80000000,"Biota","Unscorable","","",,,,,"","","",
"36110000",80600901,"Biota","Worms","Acorn worms",,,,,,,,,
"17020000",80600901,"Biota","Worms","Echiura",,,,,,,,,
"13000000",80600901,"Biota","Worms","Flatworms",,,,,,,,,
"15400000",80600901,"Biota","Worms","Penisworms",,,,,,,,,
"22000902",22000000,"Biota","Worms","Polychaetes","Other polychaetes",,,,,,,,
"22000901",22000000,"Biota","Worms","Polychaetes","Tube worms",,,,,,,,
"22000000",80600901,"Biota","Worms","Polychaetes",,,,,,,,,
"17000000",80600901,"Biota","Worms","Sipuncula",,,,,,,,,
"80600901",80000000,"Biota","Worms",,,,,,,,,,
"82003001",82003000,"Physical","Relief","Flat",,"0",,,,,,,
"82003008",82003005,"Physical","Relief","High","Caves","5",,,,"","","",
"82003006",82003005,"Physical","Relief","High","High (>3m)","3",,,,,,,
"82003007",82003005,"Physical","Relief","High","Wall","4",,,,,,,
"82003005",82003000,"Physical","Relief","High",,,,,,,,,
"82003003",82003002,"Physical","Relief","Low / moderate","Low (<1m)","1",,,,,,,
