id,imcra_names,imcra_codes
37114045,Central Western Transition,5
37114045,Central Western Province,6
37114045,Southwest Transition,7
37228108,Northwest Shelf Transition,26
37228108,Northwest Shelf Province,27
37228106,Lord Howe Province,14
37228106,Northeast Province,18
37228106,Timor Province,2
37228106,Northwest Shelf Province,27
37228106,Northeast Shelf Transition,41
37228043,Timor Province,2
37228043,Cape Province,20
37228043,Northern Shelf Province,25
37228043,Northwest Shelf Transition,26
37228043,Northwest Shelf Province,27
37228043,Northeast Shelf Province,40
37228043,Northeast Shelf Transition,41
37210004,Northwest Shelf Province,27
37210004,Central Western Shelf Transition,28
37210004,Central Western Shelf Province,29
37210004,Southwest Shelf Transition,30
37210004,Southwest Shelf Province,31
37210004,Spencer Gulf Shelf Province,33
37068045,Timor Transition,1
37068045,Northern Shelf Province,25
37068045,Northwest Shelf Transition,26
37068045,Northeast Shelf Province,40
37266005,Tasmania Province,10
37266005,Southeast Transition,11
37266005,Southwest Transition,7
37266005,Southern Province,8
37266005,West Tasmania Transition,9
37266004,Tasmania Province,10
37266004,Southeast Transition,11
37266004,Central Eastern Province,12
37266004,Tasman Basin Province,13
37266004,Lord Howe Province,14
37266004,Norfolk Island Province,21
37266004,Northwest Transition,3
37266004,Northwest Province,4
37266004,Central Western Transition,5
37266004,Central Western Province,6
37266004,Southwest Transition,7
37266004,Southern Province,8
37266004,West Tasmania Transition,9
37429043,Northeast Transition,19
37429043,Northeast Shelf Transition,41
37469002,Tasmania Province,10
37469002,Southeast Transition,11
37469002,Central Eastern Province,12
37469002,Tasman Basin Province,13
37469002,Lord Howe Province,14
37469002,Southwest Shelf Province,31
37469002,Great Australian Bight Shelf Transition,32
37469002,Spencer Gulf Shelf Province,33
37469002,Western Bass Strait Shelf Transition,34
37469002,Bass Strait Shelf Province,35
37469002,Tasmanian Shelf Province,36
37469002,Southeast Shelf Transition,37
37469002,Central Eastern Shelf Province,38
37469002,Central Eastern Shelf Transition,39
37469002,Northeast Shelf Province,40
37469002,Southern Province,8
37469002,West Tasmania Transition,9
37441021,Tasmania Province,10
37441021,Southeast Transition,11
37441021,Central Eastern Province,12
37441021,Tasman Basin Province,13
37441021,Southwest Shelf Province,31
37441021,Great Australian Bight Shelf Transition,32
37441021,Spencer Gulf Shelf Province,33
37441021,Western Bass Strait Shelf Transition,34
37441021,Tasmanian Shelf Province,36
37441021,Central Western Transition,5
37441021,Central Western Province,6
37441021,Southwest Transition,7
37441021,Southern Province,8
37441021,West Tasmania Transition,9
37012003,Timor Province,2
37012003,Northwest Shelf Province,27
37012003,Northwest Transition,3
37012003,Northwest Province,4
37012003,Central Western Transition,5
37012002,Central Eastern Province,12
37012002,Tasman Basin Province,13
37012002,Lord Howe Province,14
37012002,Central Eastern Transition,15
37012002,Kenn Transition,16
37012002,Kenn Province,17
37012002,Northeast Province,18
37012002,Northeast Transition,19
37012002,Northwest Shelf Province,27
37012002,Central Eastern Shelf Province,38
