caab_code,imcra_region
37441021,Central Eastern Province
37441021,Tasman Basin Province
37441021,Southwest Shelf Province
37441021,Great Australian Bight Shelf Transition
37441021,Spencer Gulf Shelf Province
37441021,Western Bass Strait Shelf Transition
37441021,Tasmanian Shelf Province
37441021,Central Western Transition
37441021,Central Western Province
37441021,Southwest Transition
37441021,Southern Province
37441021,West Tasmania Transition
37012003,Timor Province
37012003,Northwest Shelf Province
37012003,Northwest Transition
37012003,Northwest Province
37012003,Central Western Transition
37012002,Central Eastern Province
37012002,Tasman Basin Province
37012002,Lord Howe Province
37012002,Central Eastern Transition
37012002,Kenn Transition
37012002,Kenn Province
37012002,Northeast Province
37012002,Northeast Transition
37012002,Northwest Shelf Province
37012002,Central Eastern Shelf Province
37012002,Central Eastern Shelf Transition
37012002,Northeast Shelf Province
37012002,Southern Province
37012001,Tasmania Province
37012001,Southeast Transition
37012001,Central Eastern Province
37012001,Tasman Basin Province
37012001,Timor Province
37012001,Northwest Transition
37012001,Northwest Province
37012001,Central Western Transition
37012001,Central Western Province
37012001,Southwest Transition
37012001,Southern Province
37012001,West Tasmania Transition
37465022,Lord Howe Province
37465022,Northern Shelf Province
37465022,Northwest Shelf Transition
37465022,Northwest Shelf Province
37465022,Central Western Shelf Transition
37465022,Central Western Shelf Province
37465022,Southwest Shelf Transition
37465022,Southwest Shelf Province
37465022,Central Eastern Shelf Province
37465022,Central Eastern Shelf Transition
37465022,Northeast Shelf Province
37465022,Northeast Shelf Transition
37465045,Timor Province
37465045,Cocos (Keeling) Island Province
37465045,Christmas Island Province
37465045,Northern Shelf Province
37465045,Northwest Shelf Transition
37465045,Northwest Shelf Province
37465045,Central Western Shelf Transition
37465045,Central Western Shelf Province
37465045,Northwest Transition
37465045,Southwest Shelf Transition
37465045,Central Eastern Shelf Province
37465045,Central Eastern Shelf Transition
37465045,Northeast Shelf Province
37465045,Northeast Shelf Transition
37465046,Timor Province
37465046,Christmas Island Province
37465046,Northwest Transition
37465046,Central Eastern Shelf Transition
37465046,Northeast Shelf Province
37465046,Northeast Shelf Transition
37446012,Northeast Province
37446012,Northeast Transition
37446012,Cape Province
37310004,Northeast Shelf Province
37310011,Northern Shelf Province
37310011,Northwest Shelf Transition
37310011,Northeast Shelf Province
37310011,Northeast Shelf Transition
37310012,Southeast Shelf Transition
37310012,Central Eastern Shelf Province
37310012,Central Eastern Shelf Transition
37310018,Southeast Shelf Transition
37310018,Central Eastern Shelf Province
37310018,Central Eastern Shelf Transition
37310005,Northern Shelf Province
37310005,Northwest Shelf Transition
37310005,Northeast Shelf Province
37310005,Northeast Shelf Transition
37310002,Northern Shelf Province
37310002,Northwest Shelf Transition
37310002,Northwest Shelf Province
37310002,Central Western Shelf Transition
37310002,Central Western Shelf Province
37310002,Northeast Shelf Transition
37296041,Central Eastern Shelf Province
37296041,Central Eastern Shelf Transition
37296041,Northeast Shelf Province
37296041,Northeast Shelf Transition
37374002,Northeast Transition
37374002,Cape Province
37374002,Cocos (Keeling) Island Province
37374002,Christmas Island Province
37374002,Northwest Shelf Province
37374002,Central Western Shelf Transition
37374002,Central Eastern Shelf Transition
37374002,Northeast Shelf Province
37374002,Northeast Shelf Transition
37428032,Central Eastern Shelf Transition
37428032,Northeast Shelf Province
37428032,Northeast Shelf Transition
37428033,Northeast Shelf Province
37428033,Northeast Shelf Transition
37428034,Northeast Province
37428034,Northeast Shelf Transition
37428035,Northern Shelf Province
37428035,Northeast Shelf Province
37428035,Northeast Shelf Transition
37428036,Timor Province
37428036,Northwest Shelf Transition
37428036,Northwest Shelf Province
37428036,Northwest Transition
37428036,Northeast Shelf Province
37428036,Northeast Shelf Transition
37428037,Northern Shelf Province
37428037,Northwest Shelf Transition
37428037,Northwest Shelf Province
37428037,Northeast Shelf Transition
37428038,Northeast Shelf Transition
37428039,Northeast Shelf Province
37428039,Northeast Shelf Transition
37428040,Northern Shelf Province
37428040,Northwest Shelf Transition
37428040,Northwest Shelf Province
37428040,Northeast Shelf Province
37428040,Northeast Shelf Transition
37428041,Northeast Shelf Province
37428041,Northeast Shelf Transition
