"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"too big","Pomacanthidae","Pomacanthus","sexstriatus","2","406.62793",,"72877",,"69","391","460",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"too big","Pomacentridae","Abudefduf","bengalensis","1","154.10205",,"23863",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too small","Labridae","Thalassoma","lunare","1","45.67079",,"57994",,"67.5","382.5","450",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too small","Labridae","Thalassoma","lunare","1","51.92769",,"58016",,"67.5","382.5","450",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too small","Labridae","Thalassoma","lunare","1","51.69997",,"58061",,"67.5","382.5","450",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too small","Labridae","Thalassoma","lunare","1","48.38549",,"58110",,"67.5","382.5","450",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Chaetodontidae","Chaetodon","lineolatus","1","255.9118",,"60981",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Chaetodontidae","Chaetodon","plebeius","1","132.70061",,"37802",,"22.5","127.5","150",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Labridae","Unknown","spp","1","343.67484",,"68146",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Labridae","Unknown","spp","1","264.06293",,"68268",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Lutjanidae","Lutjanus","bohar","2","772.3569",,"73693",,"135","765","900",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-013",,"too big","Pomacentridae","Abudefduf","vaigiensis","2","200.39201",,"45194",,"30","170","200",,,,
