level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Macroalgae	Erect fine branching	Red			Epiphytes algae	80300910
Macroalgae	Erect fine branching	Red			Epiphytes other	80300910
Macroalgae	Erect fine branching					80300907
Macroalgae	Erect fine branching				Drift	80300907
Macroalgae	Erect fine branching				No epiphytes	80300907
Macroalgae	Erect fine branching				Epiphytes algae	80300907
Macroalgae	Erect fine branching				Epiphytes other	80300907
Macroalgae	Filamentous / filiform	Brown				80300931
Macroalgae	Filamentous / filiform	Brown			Drift	80300931
Macroalgae	Filamentous / filiform	Brown			No epiphytes	80300931
Macroalgae	Filamentous / filiform	Brown			Epiphytes algae	80300931
Macroalgae	Filamentous / filiform	Brown			Epiphytes other	80300931
Macroalgae	Filamentous / filiform	Green				80300932
Macroalgae	Filamentous / filiform	Green			Drift	80300932
Macroalgae	Filamentous / filiform	Green			No epiphytes	80300932
Macroalgae	Filamentous / filiform	Green			Epiphytes algae	80300932
Macroalgae	Filamentous / filiform	Green			Epiphytes other	80300932
Macroalgae	Filamentous / filiform	Red				80300933
Macroalgae	Filamentous / filiform	Red			Drift	80300933
Macroalgae	Filamentous / filiform	Red			No epiphytes	80300933
Macroalgae	Filamentous / filiform	Red			Epiphytes algae	80300933
Macroalgae	Filamentous / filiform	Red			Epiphytes other	80300933
Macroalgae	Filamentous / filiform					80300930
Macroalgae	Filamentous / filiform				Drift	80300930
Macroalgae	Filamentous / filiform				No epiphytes	80300930
Macroalgae	Filamentous / filiform				Epiphytes algae	80300930
Macroalgae	Filamentous / filiform				Epiphytes other	80300930
Macroalgae	Globose / saccate	Brown				80300915
Macroalgae	Globose / saccate	Brown			Drift	80300915
Macroalgae	Globose / saccate	Brown			No epiphytes	80300915
Macroalgae	Globose / saccate	Brown			Epiphytes algae	80300915
Macroalgae	Globose / saccate	Brown			Epiphytes other	80300915
Macroalgae	Globose / saccate	Green				80300916
Macroalgae	Globose / saccate	Green			Drift	80300916
Macroalgae	Globose / saccate	Green			No epiphytes	80300916
Macroalgae	Globose / saccate	Green			Epiphytes algae	80300916
Macroalgae	Globose / saccate	Green			Epiphytes other	80300916
Macroalgae	Globose / saccate	Red				80300917
Macroalgae	Globose / saccate	Red			Drift	80300917
Macroalgae	Globose / saccate	Red			No epiphytes	80300917
Macroalgae	Globose / saccate	Red			Epiphytes algae	80300917
Macroalgae	Globose / saccate	Red			Epiphytes other	80300917
Macroalgae	Globose / saccate					80300914
Macroalgae	Globose / saccate				Drift	80300914
Macroalgae	Globose / saccate				No epiphytes	80300914
Macroalgae	Globose / saccate				Epiphytes algae	80300914
Macroalgae	Globose / saccate				Epiphytes other	80300914
Macroalgae	Laminate	Brown				80300919
Macroalgae	Laminate	Brown			Drift	80300919
Macroalgae	Laminate	Brown			No epiphytes	80300919
Macroalgae	Laminate	Brown			Epiphytes algae	80300919
Macroalgae	Laminate	Brown			Epiphytes other	80300919
Macroalgae	Laminate	Green				80300920
Macroalgae	Laminate	Green			Drift	80300920
Macroalgae	Laminate	Green			No epiphytes	80300920
Macroalgae	Laminate	Green			Epiphytes algae	80300920
Macroalgae	Laminate	Green			Epiphytes other	80300920
Macroalgae	Laminate	Red				80300921
Macroalgae	Laminate	Red			Drift	80300921
Macroalgae	Laminate	Red			No epiphytes	80300921
Macroalgae	Laminate	Red			Epiphytes algae	80300921
Macroalgae	Laminate	Red			Epiphytes other	80300921
Macroalgae	Laminate					80300918
Macroalgae	Laminate				Drift	80300918
Macroalgae	Laminate				No epiphytes	80300918
Macroalgae	Laminate				Epiphytes algae	80300918
Macroalgae	Laminate				Epiphytes other	80300918
Macroalgae	Large canopy-forming	Brown				80300902
Macroalgae	Large canopy-forming	Brown			Drift	80300902
Macroalgae	Large canopy-forming	Brown			No epiphytes	80300902
Macroalgae	Large canopy-forming	Brown			Epiphytes algae	80300902
Macroalgae	Large canopy-forming	Brown			Epiphytes other	80300902
Macroalgae	Large canopy-forming	Brown		Ecklonia radiata		54079009
Macroalgae	Large canopy-forming	Brown		Ecklonia radiata	Drift	54079009
Macroalgae	Large canopy-forming	Brown		Ecklonia radiata	No epiphytes	54079009
Macroalgae	Large canopy-forming	Brown		Ecklonia radiata	Epiphytes algae	54079009
Macroalgae	Large canopy-forming	Brown		Ecklonia radiata	Epiphytes other	54079009
Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa		54102005
Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa	Drift	54102005
Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa	No epiphytes	54102005
Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa	Epiphytes algae	54102005
Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa	Epiphytes other	54102005
Macroalgae	Large canopy-forming	Brown		Phyllospora spp		54102902
Macroalgae	Large canopy-forming	Brown		Phyllospora spp	Drift	54102902
Macroalgae	Large canopy-forming	Brown		Phyllospora spp	No epiphytes	54102902
Macroalgae	Large canopy-forming	Brown		Phyllospora spp	Epiphytes algae	54102902
Macroalgae	Large canopy-forming	Brown		Phyllospora spp	Epiphytes other	54102902
Macroalgae	Large canopy-forming	Brown		Sargassum spp		54105902
Macroalgae	Large canopy-forming	Brown		Sargassum spp	Drift	54105902
Macroalgae	Large canopy-forming	Brown		Sargassum spp	No epiphytes	54105902
Macroalgae	Large canopy-forming	Brown		Sargassum spp	Epiphytes algae	54105902
Macroalgae	Large canopy-forming	Brown		Sargassum spp	Epiphytes other	54105902
Macroalgae	Large canopy-forming					80300901
Macroalgae	Large canopy-forming				Drift	80300901
Macroalgae	Large canopy-forming				No epiphytes	80300901
Macroalgae	Large canopy-forming				Epiphytes algae	80300901
Macroalgae	Large canopy-forming				Epiphytes other	80300901
Macroalgae	Sheet-like / membraneous	Brown				80300923
Macroalgae	Sheet-like / membraneous	Brown			Drift	80300923
Macroalgae	Sheet-like / membraneous	Brown			No epiphytes	80300923
Macroalgae	Sheet-like / membraneous	Brown			Epiphytes algae	80300923
Macroalgae	Sheet-like / membraneous	Brown			Epiphytes other	80300923
Macroalgae	Sheet-like / membraneous	Green				80300924
Macroalgae	Sheet-like / membraneous	Green			Drift	80300924
Macroalgae	Sheet-like / membraneous	Green			No epiphytes	80300924
Macroalgae	Sheet-like / membraneous	Green			Epiphytes algae	80300924
Macroalgae	Sheet-like / membraneous	Green			Epiphytes other	80300924
Macroalgae	Sheet-like / membraneous	Red				80300925
Macroalgae	Sheet-like / membraneous	Red			Drift	80300925
Macroalgae	Sheet-like / membraneous	Red			No epiphytes	80300925
Macroalgae	Sheet-like / membraneous	Red			Epiphytes algae	80300925
Macroalgae	Sheet-like / membraneous	Red			Epiphytes other	80300925
Macroalgae	Sheet-like / membraneous					80300922
Macroalgae	Sheet-like / membraneous				Drift	80300922
Macroalgae	Sheet-like / membraneous				No epiphytes	80300922
Macroalgae	Sheet-like / membraneous				Epiphytes algae	80300922
Macroalgae	Sheet-like / membraneous				Epiphytes other	80300922
Macroalgae						80300000
Molluscs	Bivalves					23199000
Molluscs	Cephalopods	Cuttlefish				23607000
Molluscs	Cephalopods	Octopods				23650000
Molluscs	Cephalopods	Squid				23615000
Molluscs	Cephalopods					23590000
Molluscs	Chitons					23100000
Molluscs	Gastropods					24000000
Molluscs						23000000
Sea spiders						33000000
Seagrasses	Elliptical leaves			Halophila spp		63605902
Seagrasses	Elliptical leaves			Halophila spp	No epiphytes	63605902
Seagrasses	Elliptical leaves			Halophila spp	Epiphytes algae	63605902
Seagrasses	Elliptical leaves			Halophila spp	Epiphytes other	63605902
Seagrasses	Elliptical leaves					63600902
Seagrasses	Elliptical leaves				No epiphytes	63600902
Seagrasses	Elliptical leaves				Epiphytes algae	63600902
Seagrasses	Elliptical leaves				Epiphytes other	63600902
Seagrasses	Strap-like leaves			Amphibolis spp		63618901
Seagrasses	Strap-like leaves			Amphibolis spp	No epiphytes	63618901
Seagrasses	Strap-like leaves			Amphibolis spp	Epiphytes algae	63618901
Seagrasses	Strap-like leaves			Amphibolis spp	Epiphytes other	63618901
Seagrasses	Strap-like leaves			Posidonia spp		63617901
Seagrasses	Strap-like leaves			Posidonia spp	No epiphytes	63617901
Seagrasses	Strap-like leaves			Posidonia spp	Epiphytes algae	63617901
Seagrasses	Strap-like leaves			Posidonia spp	Epiphytes other	63617901
Seagrasses	Strap-like leaves			Zostera spp		63619902
Seagrasses	Strap-like leaves			Zostera spp	No epiphytes	63619902
Seagrasses	Strap-like leaves			Zostera spp	Epiphytes algae	63619902
Seagrasses	Strap-like leaves			Zostera spp	Epiphytes other	63619902
Seagrasses	Strap-like leaves			Ruppia spp		63614901
Seagrasses	Strap-like leaves			Ruppia spp	No epiphytes	63614901
Seagrasses	Strap-like leaves			Ruppia spp	Epiphytes algae	63614901
Seagrasses	Strap-like leaves			Ruppia spp	Epiphytes other	63614901
Seagrasses	Strap-like leaves			Thalassodendron spp		63618905
Seagrasses	Strap-like leaves			Thalassodendron spp	No epiphytes	63618905
Seagrasses	Strap-like leaves			Thalassodendron spp	Epiphytes algae	63618905
Seagrasses	Strap-like leaves			Thalassodendron spp	Epiphytes other	63618905
Seagrasses	Strap-like leaves					63600903
Seagrasses	Strap-like leaves				No epiphytes	63600903
Seagrasses	Strap-like leaves				Epiphytes algae	63600903
Seagrasses	Strap-like leaves				Epiphytes other	63600903
Seagrasses						63600901
Seagrasses					No epiphytes	63600901
Seagrasses					Epiphytes algae	63600901
Seagrasses					Epiphytes other	63600901
Sessile invertebrates						00000002
Sponges	Crusts	Creeping / ramose				10000917
Sponges	Crusts	Encrusting				10000902
Sponges	Crusts	Endolithic / bioeroding				10000921
Sponges	Crusts					10000901
Sponges	Cup-likes	Barrels				10000907
Sponges	Cup-likes	Cups				10000910
Sponges	Cup-likes	Cups	Cup / goblet			10000919
